Date,Id,NDVI,NDVI_smooth,NDVI_smooth2
2016-01-01 00:00:00,scn.loam,,0.1776223603039854,0.1780305322908404
2016-01-02 00:00:00,scn.loam,,0.1768885669748215,0.1773469881266376
2016-01-03 00:00:00,scn.loam,,0.1761547736456576,0.1766669512560777
2016-01-04 00:00:00,scn.loam,,0.1754209803164938,0.1759907841724579
2016-01-05 00:00:00,scn.loam,,0.1746871869873299,0.1753188356900839
2016-01-06 00:00:00,scn.loam,,0.173953393658166,0.1746514409442685
2016-01-07 00:00:00,scn.loam,,0.1732196003290022,0.1739889213913323
2016-01-08 00:00:00,scn.loam,,0.1724858069998383,0.1733315848086035
2016-01-09 00:00:00,scn.loam,,0.1717520136706744,0.172679725294418
2016-01-10 00:00:00,scn.loam,,0.1710182203415105,0.172008426670516
2016-01-11 00:00:00,scn.loam,,0.1702844270123466,0.1713208189269763
2016-01-12 00:00:00,scn.loam,,0.1695506336831828,0.1706199540321949
2016-01-13 00:00:00,scn.loam,,0.1688168403540189,0.1699088059328846
2016-01-14 00:00:00,scn.loam,,0.168083047024855,0.1691902705540757
2016-01-15 00:00:00,scn.loam,,0.1673492536956912,0.1684671657991154
2016-01-16 00:00:00,scn.loam,,0.1666154603665273,0.1677422315496683
2016-01-17 00:00:00,scn.loam,,0.1658816670373634,0.1670181296657157
2016-01-18 00:00:00,scn.loam,,0.165105547759492,0.1662974439855566
2016-01-19 00:00:00,scn.loam,,0.1643063416005075,0.1655826803258062
2016-01-20 00:00:00,scn.loam,,0.1635016146656046,0.1648762664813981
2016-01-21 00:00:00,scn.loam,,0.1627072600975787,0.1641805522255819
2016-01-22 00:00:00,scn.loam,,0.1619374980768254,0.1634978093099249
2016-01-23 00:00:00,scn.loam,,0.1612048758213412,0.1628302314643113
2016-01-24 00:00:00,scn.loam,,0.1605202675867228,0.1621799343969426
2016-01-25 00:00:00,scn.loam,,0.1598928746661674,0.1615489557943373
2016-01-26 00:00:00,scn.loam,,0.1593302253904728,0.1609625191906659
2016-01-27 00:00:00,scn.loam,,0.1588381751280375,0.1604198626075657
2016-01-28 00:00:00,scn.loam,,0.1584209062848599,0.1599202054522164
2016-01-29 00:00:00,scn.loam,0.1596605912806137,0.1580809283045395,0.1594627485173402
2016-01-30 00:00:00,scn.loam,,0.157819077668276,0.1590466739812007
2016-01-31 00:00:00,scn.loam,,0.1576345178948696,0.1586711454076045
2016-02-01 00:00:00,scn.loam,,0.1575247395407211,0.1583353077458995
2016-02-02 00:00:00,scn.loam,,0.1574855601998317,0.1580382873309767
2016-02-03 00:00:00,scn.loam,,0.1575111245038031,0.1577791918832688
2016-02-04 00:00:00,scn.loam,,0.1575939041218376,0.1575571105087508
2016-02-05 00:00:00,scn.loam,,0.1577246977607379,0.1573711136989398
2016-02-06 00:00:00,scn.loam,,0.1578926311649072,0.1572202533308953
2016-02-07 00:00:00,scn.loam,,0.1580851571163492,0.1571035626672185
2016-02-08 00:00:00,scn.loam,,0.1582880554346682,0.1570200563560535
2016-02-09 00:00:00,scn.loam,,0.1584854329770688,0.1569687304310861
2016-02-10 00:00:00,scn.loam,,0.1586597236383562,0.1569485623115444
2016-02-11 00:00:00,scn.loam,,0.1587916883509361,0.1569585108021985
2016-02-12 00:00:00,scn.loam,,0.1589273182488189,0.1569975160933612
2016-02-13 00:00:00,scn.loam,,0.159064947338685,0.157064499760887
2016-02-14 00:00:00,scn.loam,,0.1592030544961993,0.1571583647661728
2016-02-15 00:00:00,scn.loam,,0.1593402634660109,0.1572779954561576
2016-02-16 00:00:00,scn.loam,,0.1594753428617533,0.1574222575633227
2016-02-17 00:00:00,scn.loam,,0.1596072061660442,0.1575899982056917
2016-02-18 00:00:00,scn.loam,,0.1597349117304857,0.1576651428894796
2016-02-19 00:00:00,scn.loam,,0.1598576627756642,0.1576595586625843
2016-02-20 00:00:00,scn.loam,,0.1599748073911502,0.157584800539147
2016-02-21 00:00:00,scn.loam,,0.1600858385354988,0.157452111499552
2016-02-22 00:00:00,scn.loam,,0.1601903940362491,0.157272422490428
2016-02-23 00:00:00,scn.loam,0.151519142502243,0.1602882565899247,0.1571192663639889
2016-02-24 00:00:00,scn.loam,,0.1603793537620336,0.1569958006880608
2016-02-25 00:00:00,scn.loam,,0.1604637579870677,0.1569050316553947
2016-02-26 00:00:00,scn.loam,,0.1605416865685036,0.1568498140836653
2016-02-27 00:00:00,scn.loam,,0.1606135016788021,0.1568328514154716
2016-02-28 00:00:00,scn.loam,,0.1606383250206035,0.1568566957183367
2016-02-29 00:00:00,scn.loam,,0.1606356200219758,0.1569237476847078
2016-03-01 00:00:00,scn.loam,,0.1606233591958285,0.1570362566319567
2016-03-02 00:00:00,scn.loam,,0.160618024139913,0.1571963205023791
2016-03-03 00:00:00,scn.loam,,0.1606346055368227,0.1574058858631947
2016-03-04 00:00:00,scn.loam,,0.1606866031539927,0.1576667479065478
2016-03-05 00:00:00,scn.loam,,0.1607860258436997,0.1579805504495068
2016-03-06 00:00:00,scn.loam,,0.1609433915430627,0.158348785934064
2016-03-07 00:00:00,scn.loam,,0.1611677272740422,0.1587727954271363
2016-03-08 00:00:00,scn.loam,,0.161461093095834,0.1592537686205644
2016-03-09 00:00:00,scn.loam,,0.1618275784687943,0.1597927438311135
2016-03-10 00:00:00,scn.loam,0.1721557432255211,0.1622696370691368,0.1603906080004727
2016-03-11 00:00:00,scn.loam,,0.1627880867889329,0.1610480966952556
2016-03-12 00:00:00,scn.loam,,0.1633821097361111,0.1617657941069998
2016-03-13 00:00:00,scn.loam,,0.1640492522344579,0.1625441330521671
2016-03-14 00:00:00,scn.loam,,0.164785424823617,0.1634346694020018
2016-03-15 00:00:00,scn.loam,,0.1655849022590898,0.1644317065830575
2016-03-16 00:00:00,scn.loam,,0.1664403235122352,0.1655355066700999
2016-03-17 00:00:00,scn.loam,,0.1673426917702695,0.1667409682841258
2016-03-18 00:00:00,scn.loam,,0.1682813744362668,0.1680429832857733
2016-03-19 00:00:00,scn.loam,,0.1692441031291583,0.1694364367753221
2016-03-20 00:00:00,scn.loam,,0.1702169736837332,0.1709162070926931
2016-03-21 00:00:00,scn.loam,,0.171184446150638,0.1724100444674745
2016-03-22 00:00:00,scn.loam,,0.1720356552551079,0.1739204411450032
2016-03-23 00:00:00,scn.loam,,0.1727943756346267,0.1754497112074237
2016-03-24 00:00:00,scn.loam,,0.1735408756391974,0.1769999905736873
2016-03-25 00:00:00,scn.loam,,0.1743103351360948,0.1785732369995523
